drug,generic_name,brand_name,shortage_status,shortage_reason,shortage_start,shortage_end,dosage_form,strength,company_name
lamotrigine,"Lamotrigine Tablet, Extended Release",,,,,,Tablet,,"Par Health, Inc."
lamotrigine,"Lamotrigine Tablet, Extended Release",,,,,,Tablet,,"Par Health, Inc."
lamotrigine,"Lamotrigine Tablet, Extended Release",,,,,,Tablet,,"Par Health, Inc."
lamotrigine,"Lamotrigine Tablet, Extended Release",,,,,,Tablet,,"Par Health, Inc."
lamotrigine,"Lamotrigine Tablet, Extended Release",,,,,,Tablet,,"Par Health, Inc."
lamotrigine,"Lamotrigine Tablet, Extended Release",,,,,,Tablet,,"Par Health, Inc."
valproate,Valproate Sodium Injection,,,,,,Injection,,"Fresenius Kabi USA, LLC"
valproate,Valproate Sodium Injection,,,,,,Injection,,"Hikma Pharmaceuticals USA, Inc."
carbamazepine,"Carbamazepine Capsule, Extended Release",,,,,,"Capsule, Extended Release",,Takeda Pharmaceuticals USA Inc.
carbamazepine,"Carbamazepine Capsule, Extended Release",,,,,,"Capsule, Extended Release",,Takeda Pharmaceuticals USA Inc.
carbamazepine,"Carbamazepine Capsule, Extended Release",,,,,,"Capsule, Extended Release",,Takeda Pharmaceuticals USA Inc.
