ds,claims,is_anomaly,anomaly_name,yhat,yhat_lower,yhat_upper,deviation,deviation_pct,flagged,flag_type,drug_key,state_key
2022-01-02,5414,False,,5571.043514454069,5075.701096947538,6061.582121935918,-0.02818924570354181,-2.8,False,NORMAL,Levetiracetam,FL
2022-01-09,5486,False,,5232.610180918348,4750.165644207991,5695.496578393512,0.048425128247787906,4.8,False,NORMAL,Levetiracetam,FL
2022-01-16,5180,False,,5095.646882766663,4616.307090835393,5567.198033805846,0.016553956577842314,1.7,False,NORMAL,Levetiracetam,FL
2022-01-23,4898,False,,5219.481536433844,4737.522344631943,5726.067346234393,-0.06159261876678515,-6.2,False,NORMAL,Levetiracetam,FL
2022-01-30,5418,False,,5470.279229806055,4949.540691290977,5947.009252490493,-0.009556958175224343,-1.0,False,NORMAL,Levetiracetam,FL
2022-02-06,6147,False,,5614.352583877965,5086.161785179787,6115.093501536032,0.09487245557957509,9.5,False,NORMAL,Levetiracetam,FL
2022-02-13,5156,False,,5544.486350880865,5011.308566475037,6039.436103632774,-0.07006714892879935,-7.0,False,NORMAL,Levetiracetam,FL
2022-02-20,5277,False,,5381.989419485467,4892.709901002625,5866.358989456782,-0.019507548473683953,-2.0,False,NORMAL,Levetiracetam,FL
2022-02-27,5596,False,,5319.896524755739,4830.0624731747475,5800.683360971406,0.05190015895223418,5.2,False,NORMAL,Levetiracetam,FL
2022-03-06,5266,False,,5383.799556071576,4911.238835793399,5864.923891141324,-0.021880375531204147,-2.2,False,NORMAL,Levetiracetam,FL
2022-03-13,5362,False,,5398.978580287948,4901.669407530757,5923.817258087436,-0.006849180773370581,-0.7,False,NORMAL,Levetiracetam,FL
2022-03-20,5374,False,,5208.299591006145,4732.373977130329,5723.329718432272,0.03181468463910778,3.2,False,NORMAL,Levetiracetam,FL
2022-03-27,4643,False,,4876.039192839868,4399.591503392954,5332.014536752599,-0.04779272348386162,-4.8,False,NORMAL,Levetiracetam,FL
2022-04-03,4766,False,,4625.909251706349,4116.667280041669,5072.695392193404,0.030283937853293585,3.0,False,NORMAL,Levetiracetam,FL
2022-04-10,4462,False,,4588.887650783422,4086.617881152669,5068.136932851623,-0.027651069374461493,-2.8,False,NORMAL,Levetiracetam,FL
2022-04-17,5053,False,,4671.964019254609,4178.406048057334,5178.020275486733,0.0815579869996908,8.2,False,NORMAL,Levetiracetam,FL
2022-04-24,4212,False,,4704.859468931579,4219.864228009695,5195.678972121803,-0.10475540708201038,-10.5,False,NORMAL,Levetiracetam,FL
2022-05-01,4909,False,,4669.396499383061,4166.361638684472,5145.3981915189515,0.051313590663931825,5.1,False,NORMAL,Levetiracetam,FL
2022-05-08,4564,False,,4711.545194432679,4211.81951057723,5178.474788305911,-0.03131566998593649,-3.1,False,NORMAL,Levetiracetam,FL
2022-05-15,5388,False,,4916.761083357928,4398.420087499879,5443.151304705301,0.0958433628668889,9.6,False,NORMAL,Levetiracetam,FL
2022-05-22,4523,False,,5142.670178854268,4625.829710340884,5602.822648800395,-0.12049580418402871,-12.0,False,NORMAL,Levetiracetam,FL
2022-05-29,5434,False,,5146.132395918795,4664.019256722135,5667.733171333457,0.05593863156523182,5.6,False,NORMAL,Levetiracetam,FL
2022-06-05,15680,True,Competitor shortage — Levetiracetam Florida,4872.934681907567,4364.04765386947,5372.886527727288,2.2177734822133672,221.8,True,SPIKE,Levetiracetam,FL
2022-06-12,14579,True,Competitor shortage — Levetiracetam Florida,4556.037470546364,4090.5498615178703,5039.661550560061,2.199929784214807,220.0,True,SPIKE,Levetiracetam,FL
2022-06-19,13968,True,Competitor shortage — Levetiracetam Florida,4480.899904412639,4012.5119331691362,4983.970680728341,2.1172309799298983,211.7,True,SPIKE,Levetiracetam,FL
2022-06-26,15347,True,Competitor shortage — Levetiracetam Florida,4675.817525956866,4178.473153451231,5144.444957469469,2.2822067830500647,228.2,True,SPIKE,Levetiracetam,FL
2022-07-03,4860,False,,4885.085739899403,4419.929640081568,5351.64912935901,-0.00513516880461542,-0.5,False,NORMAL,Levetiracetam,FL
2022-07-10,4734,False,,4856.416910077066,4341.175233032966,5388.5019959363935,-0.025207248954069582,-2.5,False,NORMAL,Levetiracetam,FL
2022-07-17,4749,False,,4611.324820872779,4120.606257087497,5101.6122116157585,0.029855884040969224,3.0,False,NORMAL,Levetiracetam,FL
2022-07-24,4442,False,,4398.393880787333,3914.5085571704785,4873.241855063063,0.009914100554555492,1.0,False,NORMAL,Levetiracetam,FL
2022-07-31,4353,False,,4405.583392570215,3898.900364929999,4901.880257123971,-0.011935625292871442,-1.2,False,NORMAL,Levetiracetam,FL
2022-08-07,4350,False,,4573.226066340776,4051.7569354737457,5066.989748171563,-0.0488115092284052,-4.9,False,NORMAL,Levetiracetam,FL
2022-08-14,4946,False,,4702.113980513262,4250.603576650398,5181.532056630707,0.05186731340360169,5.2,False,NORMAL,Levetiracetam,FL
2022-08-21,4803,False,,4694.673690325774,4200.855874414189,5221.454583413348,0.02307430011535237,2.3,False,NORMAL,Levetiracetam,FL
2022-08-28,4518,False,,4636.939605439678,4136.427308493158,5126.482681939202,-0.025650453868354937,-2.6,False,NORMAL,Levetiracetam,FL
2022-09-04,4323,False,,4655.059128479294,4180.708579405808,5155.566853255714,-0.07133295610527939,-7.1,False,NORMAL,Levetiracetam,FL
2022-09-11,5152,False,,4755.12657287258,4292.697741048091,5249.465169720422,0.08346222146672908,8.3,False,NORMAL,Levetiracetam,FL
2022-09-18,4943,False,,4842.703262018787,4333.967211265432,5333.050555365451,0.020710898965839518,2.1,False,NORMAL,Levetiracetam,FL
2022-09-25,4584,False,,4866.2075970144915,4378.666901014142,5354.513785887463,-0.05799333287540612,-5.8,False,NORMAL,Levetiracetam,FL
2022-10-02,4791,False,,4876.957867984536,4396.564547819437,5375.3458188382265,-0.01762530460818999,-1.8,False,NORMAL,Levetiracetam,FL
2022-10-09,5174,False,,4931.667327396245,4423.1594748729585,5442.809625568979,0.049138081812119795,4.9,False,NORMAL,Levetiracetam,FL
2022-10-16,5028,False,,4985.893477733504,4521.955132522842,5492.2166779331,0.00844513073825967,0.8,False,NORMAL,Levetiracetam,FL
2022-10-23,4805,False,,4939.31435794369,4465.670782593384,5421.153273537446,-0.027192915495989435,-2.7,False,NORMAL,Levetiracetam,FL
2022-10-30,4608,False,,4784.363243161717,4325.972062282042,5216.606785888662,-0.036862427495193376,-3.7,False,NORMAL,Levetiracetam,FL
2022-11-06,5101,False,,4660.426314507324,4187.815505765099,5179.298638902087,0.09453506090660109,9.5,False,NORMAL,Levetiracetam,FL
2022-11-13,4271,False,,4725.894875884826,4265.2356369054505,5269.301513287131,-0.09625581775126911,-9.6,False,NORMAL,Levetiracetam,FL
2022-11-20,5384,False,,4988.794980130748,4504.629766649322,5525.5732573258765,0.07921853302115346,7.9,False,NORMAL,Levetiracetam,FL
2022-11-27,5037,False,,5290.834844408282,4799.453323393972,5793.304569202185,-0.047976331122214534,-4.8,False,NORMAL,Levetiracetam,FL
2022-12-04,5461,False,,5454.821509397443,4964.50860548526,5951.906697726396,0.0011326659528478951,0.1,False,NORMAL,Levetiracetam,FL
2022-12-11,5505,False,,5420.470527293958,4915.111171415521,5918.307825503963,0.015594489865853243,1.6,False,NORMAL,Levetiracetam,FL
2022-12-18,5317,False,,5235.074069956295,4743.396474674553,5726.2209193118415,0.015649430924745092,1.6,False,NORMAL,Levetiracetam,FL
2022-12-25,4855,False,,4959.635495598292,4437.54521291809,5447.580997472923,-0.021097416471665527,-2.1,False,NORMAL,Levetiracetam,FL
2022-01-02,6487,False,,6577.799241705614,5931.110482169577,7241.159813349458,-0.013803893729366813,-1.4,False,NORMAL,Levetiracetam,CA
2022-01-09,7075,False,,6778.945471251714,6112.441068636101,7462.786770324012,0.04367265233269693,4.4,False,NORMAL,Levetiracetam,CA
2022-01-16,6252,False,,6755.806008851927,6069.313832553454,7430.600226694611,-0.0745737826384898,-7.5,False,NORMAL,Levetiracetam,CA
